Q36_What materials are you using?,Q37_How often do you use these materials?,Q38_Do you find these materials more or less helpful than radio lessons?,Q39_Why
Practice book from school,A few times a week,More,"Limited time for the radio
Not all lessons covered"
,,,
Practice book from school,A few times a week,More,I have time to consult
,,,
,,,
Textbooks Practice book from school,A few times a week,Less,The presentor explain in to details the content of the lesson compare books when you don't understand some words at times.
Practice book from school Study packets,Daily,More,Because there is explanation going on with lessons over radio compare to reading alone.
Study packets Practice book from school,Daily,More,She prefers study at home to radio lessons due to no radio at home during this time of coronas
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Textbooks Practice book from school,A few times a month,More,My brother does assist me when reading
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Textbooks,A few times a week,More,It because what you read is understandable
Study packets,A few times a week,Less,Because I am using only what's in the exercise book and there are no textbooks
Textbooks,A few times a week,More,Some radio lessons are hard to understand compare to textbooks
Study packets,A few times a week,Less,The notes that had is very little and there are no textbooks
,,,
Other (specify),A few times a week,Less,The are less helpful be what we have in the note books is little
,,,
,,,
Textbooks,A few times a month,Less,The don't provide More knowledge compare to classroom learning
,,,
,,,
Textbooks,A few times a week,Less,The are less because when I encounter some difficulties no one is couching me.
,,,
,,,
,,,
Textbooks,A few times a week,More,Because I read and understand
Textbooks,A few times a week,Less,Because no one to couching me
,,,
,,,
Practice book from school,A few times a week,Less,Because no one is couching me when I encounter some difficulties
Textbooks,A few times a week,Less,Because there is no one couching me.
Textbooks,A few times a week,Less,Because there is no one to help me in areas I don't understand
Textbooks,A few times a week,Less,Because there is no one to couch me when I encounter some difficulties
Study packets,A few times a week,Less,Because no one is couching me
,,,
Other (specify),A few times a month,More,Understanding note is batter because I see it while radio lesson is hard eg math
,,,
Other (specify),A few times a week,More,Radio lessons ended in less than thirty minutes thus make it difficult due lack credited to call
Textbooks,A few times a week,More,Explanations in radio is no complete due short time
Textbooks,Daily,More,Early understand than radio lessons
Textbooks Practice book from school Other (specify),A few times a week,Less,Teacher starting new topic in radio lessons but standing alone is a revision
,,,
Textbooks,A few times a month,More,Radio don't give detailed work
Textbooks,A few times a week,Less,There is a Teacher taking on radio lesson
Other (specify),A few times a week,More,Radio lesson have limited time
Other (specify),A few times a week,More,I have not used radio lesson before so I don't known
Textbooks,A few times a week,More,Enough information
,,,
Other (specify),Daily,More,I don't understand mathematics on radio lesson
,,,
,,,
,,,
Textbooks,A few times a week,More,Self learning is possible
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Textbooks,A few times a week,More,Because I don't listen to the radio
,,,
,,,
Practice book from school,A few times a week,Less,Due to lack of textbooks.
,,,
,,,
Practice book from school,A few times a week,More,Due to lack of radio at home.
Textbooks Practice book from school,A few times a week,More,Due to lack of radio.
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Other (specify),Daily,More,Because one can read and understand them
Textbooks Study packets Practice book from school,Daily,More,They are available than radio lessons that l don't get
Textbooks Study packets,Daily,Less,Because they are difficult to read them alone
Textbooks,Daily,Less,Because l can't do everything by myself
Textbooks Practice book from school,A few times a week,Less,No helper
Textbooks Study packets Practice book from school,Daily,Less,There are some topics l can't understand
,,,
Textbooks Practice book from school,Daily,Less,Because sometimes I get them difficult to through
Textbooks Practice book from school,Daily,Less,They need an assistant
Textbooks Practice book from school,Daily,Less,They need teacher or helper to back up my understanding
Study packets,A few times a week,Less,No textbooks used for doing homework
,,,
,,,
,,,
Textbooks,A few times a week,More,Because I don't depends on radio
,,,
Practice book from school,A few times a week,Less,Due to gardening sometimes limit him to study especially when he comes late from the garden 
Practice book from school,A few times a week,Less,No access for her due to domestic work at times
Textbooks,A few times a week,More,Everything is in my book 
,,,
,,,
Other (specify),A few times a month,Less,Not for future 
Textbooks,A few times a week,More,Becouse I don't listen to radio
,,,
,,,
Textbooks,A few times a week,Less,No teachers 
Textbooks,A few times a week,About the same,Thesame things in radios are thesame I am studying 
Textbooks,A few times a week,Less,Becouse I am studying alone 
Textbooks,Daily,Less,Becouse the books is for last year 
,,,
,,,
,,,
,,,
Practice book from school,A few times a week,Less,Agricultural activities also prevent her from study more 
,,,
,,,
Textbooks Practice book from school,A few times a week,Less,Sometimes gardening also limit him from concentrating with books 
,,,
,,,
,,,
Textbooks Practice book from school,A few times a week,More,Easy to understand
Textbooks,Daily,Less,Its not like radio lessons
Textbooks,Daily,Less,Because they are not like radio lessons
Textbooks,Daily,Less,I radio lessons i get new thing
Textbooks Practice book from school,Daily,About the same,Because both are good
Textbooks Practice book from school,Daily,Less,Because radio lessons give you new ideas
Textbooks Practice book from school,Daily,Less,They are not like radio lesson
Textbooks Practice book from school,Daily,More,Because in radio alot are missing than study from books
,,,
,,,
,,,
,,,
,,,
,,,
Textbooks,A few times a week,Less,No one to guide me
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Textbooks Practice book from school,A few times a month,More,I read it and I used to understand.
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Textbooks,A few times a month,Less,Because it not available at the home
,,,
,,,
,,,
Other (specify),Daily,More,Because it been set by my mam to it daily
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Practice book from school,Daily,Less,Both are OK because the same content have been taught.
,,,
Practice book from school,A few times a month,Less,We didn't cover alot
,,,
,,,
,,,
,,,
,,,
,,,
Practice book from school,A few times a month,Less,Because I wants to learn more than what I have.
Practice book from school,A few times a week,Less,Because we have just covered little.
Textbooks,A few times a week,More, Because I don't have radio always
Textbooks,A few times a week,More,Because I don't always follow the radio lessons
,,,
Textbooks Practice book from school,A few times a week,About the same,Because I get some missing information from the book from on radio
,,,
,,,
,,,
Textbooks,A few times a week,About the same,Because I just read for leisure time
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Textbooks,A few times a week,Less,Because I have other things to do
Textbooks,A few times a week,Less,Because I am always busy doing home affairs
Textbooks,A few times a week,Less,Because I don't always read
Textbooks,A few times a week,Less,Because I do other things
Textbooks,A few times a week,Less,Because am doing other things
Textbooks,A few times a month,Less,Not always
Textbooks,A few times a week,Less,Because am doing other things
Textbooks,A few times a week,Less,Because am doing other things at home
Textbooks,A few times a week,Less,Because am doing other things
Textbooks,A few times a month,Less,Because I don't read daily
Textbooks,A few times a week,Less,Because I do other things
Textbooks,A few times a month,Less,Because I don't always read
Textbooks,A few times a week,Less,Not enough because I am reading alone
Textbooks,A few times a month,Less,Because it's not enough for me
Textbooks,A few times a month,Less,Because vI am always busy
Textbooks,A few times a month,Less,Because it is not enough
Textbooks,A few times a month,Less,I do it for leisure time
Textbooks,A few times a week,More,Because I like reading
Other (specify),Daily,About the same,I am selling breads to buy some school's materials out of it 
,,,
Textbooks,A few times a week,More,Because I don't have radio
,,,
,,,
,,,
Textbooks,A few times a week,More,Because I don't have radio
Textbooks,A few times a month,Less,I don't have time to revise always
Textbooks,A few times a week,More,Because I don't have a radio
Textbooks,A few times a week,More,Because we don't have radio at home
,,,
Textbooks,A few times a week,Less,Because no teacher 
Textbooks,A few times a week,Less,No teacher 
Other (specify),A few times a week,Less,Present of teacher is good 
Textbooks,A few times a month,About the same,No body help me 
Textbooks,Daily,About the same,No teacher 
Textbooks,A few times a week,About the same,Because no teacher
Textbooks,Daily,About the same,No body help me 
Textbooks,Daily,About the same,Present of teacher is more important 
Textbooks,A few times a week,About the same,Because no teacher 
Textbooks,Daily,Less,Present of teacher is very good 
Textbooks,A few times a week,Less,Present of teacher is very good
,,,
,,,
,,,
,,,
,,,
Textbooks Practice book from school,Daily,Less,"Because no body telling me what I don't,know"
Textbooks,A few times a week,About the same,No body helping me 
Textbooks,Daily,Less,I am alone 
,,,
Textbooks,Daily,Less,No help me 
Textbooks,A few times a week,Less,Present of teacher is good 
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Textbooks,A few times a week,About the same,Because I am gaining information from both of them
,,,
,,,
Textbooks,A few times a week,Less,No one is there to couch me
,,,
Textbooks,A few times a week,Less,Because no teacher to couch me
Textbooks,A few times a week,Less,Because books alone can't help without a teacher to couch you
Textbooks,Daily,Less,Present of teacher is good 
Textbooks,A few times a week,Less,Because Iam engage with home activities
,,,
Textbooks,A few times a week,Less,Because there is no teacher to help me
Study packets,A few times a week,Less, Because the note that I have is very little
Textbooks,A few times a week,About the same,No teacher 
,,,
Textbooks,A few times a week,About the same,"I don't,know"
,,,
,,,
Textbooks,Daily,About the same,Present of teacher is good
Study packets,A few times a week,Less,The notes that I have is very little
Textbooks,A few times a week,Less,Because there is no one else to couch me
Textbooks,A few times a week,Less,No one is there to couch me
Textbooks,A few times a week,About the same,Present of teacher  is more important 
Textbooks,A few times a week,Less,No teacher 
,,,
Textbooks,A few times a week,About the same,No teacher
Textbooks,A few times a week,About the same,No teacher 
Textbooks,A few times a week,About the same,No teacher 
,,,
,,,
Textbooks Other (specify),A few times a week,More,Understanding is good
Textbooks,A few times a week,More,Easy in understanding
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Textbooks,A few times a week,More,Are help then radio because  there are alot of information we get through reading a book
Textbooks,A few times a week,More,I like reading
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Textbooks Practice book from school,A few times a month,Less,Because there is no one to help me out at home
,,,
Textbooks Study packets,A few times a week,More,They are all written by me and I understand them better
,,,
Study packets,A few times a week,More,There is an uncle of mine who helps me
,,,
,,,
,,,
,,,
Textbooks Study packets Practice book from school,A few times a week,Less,They are up-to-date
Textbooks Study packets Practice book from school,A few times a week,Less,There is need for someone who should help which the teacher could do at schools
,,,
,,,
,,,
,,,
,,,
Textbooks,A few times a week,More,Because the practice is better than listening to the radio
,,,
,,,
,,,
,,,
Textbooks,A few times a month,More,Because you can read them per each and every day with no pressure
,,,
,,,
Textbooks,A few times a week,Less,Because our schools don't have
Practice book from school Textbooks,A few times a month,Less,They are not enough
,,,
,,,
,,,
,,,
,,,
,,,
Textbooks,A few times a week,Less,Because they are not enough
,,,
,,,
Textbooks,A few times a week,Less,They are not enough
,,,
,,,
,,,
,,,
Practice book from school,A few times a week,About the same,Sometimes I'm engaged in other activities
,,,
,,,
,,,
,,,
,,,
Practice book from school Textbooks,A few times a month,Less,Reading alone without exam will not take me to the next class
Textbooks Practice book from school,A few times a month,Less,They are not enough
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Practice book from school Textbooks,A few times a month,More,Because we do read together
Textbooks,Daily,More,Because radio some times lacks power
,,,
,,,
,,,
,,,
Textbooks Practice book from school,A few times a week,More,I'm understanding Text books more than radio
,,,
,,,
,,,
Textbooks Practice book from school,A few times a month,More,I don't understand radio well without help
,,,
Textbooks,A few times a week,More,Because it help me to know more 
,,,
,,,
,,,
Practice book from school Study packets,Daily,Less,She enjoys because the explanation of the person over radio is very clear compare to reading alone.
,,,
Textbooks,A few times a week,More,Because radio lessons some times start when she is not there
Study packets Practice book from school,A few times a week,Less,Because teaching is understandable
Practice book from school Textbooks,A few times a week,More,Because you see with your eyes
,,,
,,,
Study packets,Daily,More,Because of explanation
Textbooks,Daily,More,He can make calculation like mathematics
,,,
,,,
,,,
,,,
,,,
,,,
Textbooks,A few times a week,About the same,He understands well
Textbooks Practice book from school,A few times a week,About the same,All are teachers
Textbooks Practice book from school,A few times a week,More,Like math's you can calculate and understand
Textbooks Practice book from school,A few times a week,More,They asked questions among them selves
,,,
,,,
,,,
,,,
,,,
Textbooks,A few times a week,More,Because I don't listen to radio lessons everyday
Practice book from school,Daily,More,I don't have radio
,,,
,,,
,,,
,,,
Textbooks,A few times a week,Less,I only have maths textbook
Textbooks,A few times a week,More,Sonethings I write and I see rather than the one on the radio 
Textbooks,A few times a month,More,I am seeing what I am studying 
Textbooks,A few times a week,Less,Teachers are the one explaining 
Textbooks,A few times a month,More,Because you can read and practice writing
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Other (specify),Daily,More,Because our school is close down 
,,,
Practice book from school,A few times a week,Less,Old books
,,,
,,,
,,,
Textbooks Practice book from school Study packets,A few times a week,More,Easier to understand and physical practice
,,,
Practice book from school,A few times a week,Less,No one to guide me
,,,
Study packets,A few times a week,About the same,Same time I don't have the radio near me.
,,,
Textbooks,Daily,More,I do not have radio.
,,,
Textbooks,A few times a week,Less,No more explanation of the lesson.
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Textbooks,A few times a week,More,Because they are helpful to me for studies.
Textbooks,Daily,More,They help me to understand many things.
,,,
,,,
,,,
Study packets Practice book from school,A few times a week,More,Because they are more helpful than radio lessons.
Textbooks,Daily,More,Because it is more helpful than radio lessons.
Practice book from school,Daily,More,Because they are more helpful to me than radio.
,,,
,,,
Textbooks Study packets,A few times a week,More,Because it is more helpful than radio lessons.
Practice book from school Study packets,A few times a week,Less,No
Textbooks,A few times a week,More,Because it is more helpful than radio lessons.
,,,
Textbooks,A few times a week,More,Because they are more helpful than radio lessons.
,,,
,,,
,,,
Textbooks,A few times a week,Less,Because they are good.
,,,
,,,
,,,
,,,
,,,
Practice book from school Study packets,Daily,About the same,Because I read text books when the radio is not working. They are all the same to me.
,,,
,,,
,,,
,,,
Practice book from school Study packets,A few times a week,About the same,Because all are helpful to me.
Textbooks Study packets,Daily,About the same,Because all the lessons are interesting.
Textbooks Study packets,A few times a week,About the same,Because all are helpful to me.
,,,
Textbooks,A few times a week,Less,Because they are less effective.
,,,
,,,
,,,
Textbooks,A few times a week,Less,Because they are more understandable than radio lessons.
,,,
,,,
,,,
,,,
,,,
Textbooks Study packets Practice book from school,A few times a week,About the same,Because both radio lessons and materials support me in studying.
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Practice book from school,A few times a week,More,I remember more when reading than listening
,,,
Other (specify),A few times a week,More,I understand more by reading than listening
Other (specify),A few times a month,More,Easy to understand
,,,
,,,
Other (specify),A few times a month,Less,Because there's no teaching
Other (specify),Daily,More,Easy to remember read information
,,,
Textbooks,Daily,More,May ask questions directly from the teacher unlike the one for radio.
Textbooks,Daily,More,Radios are interactive
,,,
Practice book from school,Daily,More,Very interactive
,,,
Practice book from school,A few times a week,More,Very interactive
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Textbooks,Daily,More, Classroom focus are Interactive
,,,
,,,
,,,
,,,
Textbooks,Daily,More,Because understanding it very difficult since no explanation and question can not be ask
,,,
Other (specify) Textbooks,Daily,Less,I thing radio is more helpful than this but don't have time
Textbooks Study packets,A few times a week,Less,Because radio lesson could be more important but I don't have access
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Practice book from school Textbooks,A few times a week,More,Easy to understand
,,,
Textbooks Practice book from school,A few times a week,More,Because reading from the book is easy
Textbooks Study packets Practice book from school,A few times a week,More,Because we are from different schools and covered different topics we help each other in case of difficulties
Practice book from school,Daily,More,Because my brothers are helping me to do what I doesn't know
Practice book from school,A few times a week,Less,Because we are all in the same class anything we don't know no one is there to help us
,,,
Textbooks Study packets Practice book from school,Daily,About the same,Because we are in the same class sometime it is hard for us to mark ourselves when our big brothers are busy with their studies also
,,,
Practice book from school Textbooks Study packets,A few times a week,More,Because she normally gives me enough lessons in Arabic language to make me understand everything
,,,
Textbooks Practice book from school Study packets,A few times a week,More,Easy to understand and if difficulties look for the help
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Textbooks Practice book from school,A few times a week,More,Easy to understand
Textbooks Practice book from school,A few times a week,More,Easy to understand
Textbooks Practice book from school,A few times a week,More,Easy to understand
Textbooks Practice book from school,A few times a week,More,Easy to understand
Textbooks Practice book from school,A few times a week,More,Easy to understand
Textbooks Practice book from school,A few times a week,More,Easy and physical practical
,,,
Textbooks,A few times a week,More,radio is operating at evening hour.
Textbooks,A few times a week,Less,all book are not available
,,,
,,,
Textbooks Practice book from school,A few times a week,More,Much easier than radio
Textbooks Practice book from school,A few times a week,More,Easier than radio
Textbooks Practice book from school,A few times a week,More,Easy to understand than radio
Practice book from school,A few times a week,More,Easy to understand 
Practice book from school,A few times a week,More,Easy to understand
Textbooks Practice book from school,A few times a week,More,Easy to understand and if difficulties look for the help
Textbooks Practice book from school,A few times a week,More,Easy to understand and if any difficulties look for the help
,,,
,,,
,,,
Textbooks Practice book from school,A few times a week,More,Easy to understand and if difficulties look for the help
,,,
,,,
,,,
Textbooks Study packets,A few times a week,Less,Because am the candidate in primary eight
,,,
,,,
Other (specify),A few times a week,Less,I find it difficult to understand
,,,
Practice book from school,A few times a month,Less,I have no idea
,,,
Practice book from school,A few times a week,More,because the written notes is always available for reference.
,,,
,,,
,,,
,,,
Practice book from school,A few times a week,Less,More help from my parents.
Textbooks,A few times a week,More,More understandable.
,,,
Study packets,A few times a week,Less,They are not distributed
Study packets,A few times a week,Less,I don't understand the radio.
,,,
,,,
,,,
,,,
Textbooks,A few times a week,More,I don't have radio
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Textbooks,A few times a week,Less,I have many works at home
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Practice book from school,A few times a week,Less,Because we normally balance with domestic work
,,,
Study packets Practice book from school,Daily,Less,We don't have enough light 
Practice book from school Textbooks,A few times a week,Less,She is learning less because she don't attend to the radio all the time and more so there is no radio at home.
,,,
Other (specify),A few times a week,Less,I am benefiting from radio lessons 
,,,
,,,
Textbooks,A few times a week,Less,To learn more from the lessons 
Other (specify),Daily,Less,No educationally 
Other (specify),Daily,Less,No benefiting 
,,,
,,,
Other (specify),Daily,Less,Not with a teacher 
Textbooks,A few times a week,Less,I dont hear in thing in radio but I prefer studying alone 
Textbooks,A few times a week,Less,To learn more 
Textbooks,A few times a week,Less,Is good to learn from a direct teacher 
Textbooks,A few times a week,More,It's not very easy to understand from the radio lessons no good explanation 
Textbooks,Daily,More,No replay from the radio lessons 
Textbooks,A few times a week,Less,Becouse we have no time 
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Textbooks,A few times a week,More,Because I have to work on the books that are my subjects
,,,
Practice book from school,A few times a week,More,Because it is easy to read and understand at home when you are lone without peer group
,,,
,,,
,,,
Textbooks,Daily,More,Because easy to understand
,,,
,,,
,,,
,,,
,,,
,,,
Textbooks,A few times a week,More,Because I don't listen to the radio always
Textbooks,A few times a week,More,Because I read it by myself
,,,
Other (specify),Daily,Less,I don't listen to the radio
,,,
,,,
Textbooks,A few times a week,More,It reminds me of my lessons
Textbooks,A few times a week,More,Because I like reading
Textbooks,A few times a week,More,I have time to listen to radio
,,,
Textbooks,A few times a week,Less,Needs a teacher  to guide me
,,,
Practice book from school Textbooks,A few times a week,Less,Textbooks are better than radio
,,,
,,,
Study packets,A few times a week,More,More than radios
Practice book from school,A few times a week,Less,Do not understands
,,,
,,,
,,,
Textbooks,A few times a week,More,Good to study in booka
,,,
Textbooks,A few times a week,Less,Time is shoort
,,,
Practice book from school,A few times a month,Less,We don't have people can direct me.
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Textbooks,A few times a week,More,Because I have to work on the books that are my subjects
,,,
,,,
,,,
,,,
Practice book from school,A few times a week,Less,Radio lessons is not effective and does not cover all parts. Notes got from the classroom were less given.
Practice book from school,A few times a week,Less,Because no textbooks and radio lessons coverage.
Practice book from school,A few times a week,Less,Because no textbooks given from school and sometimes radio lessons program is not a times effective.
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Textbooks,A few times a week,About the same,Because is difficult to buy
,,,
,,,
,,,
Study packets,A few times a week,Less,Understand better that radio and I take my own times to studies
Study packets,Daily,More,Because they are just revision on what I learnt from the school
,,,
,,,
Practice book from school Other (specify),A few times a week,More,Because I normally revised what was thought by my teachers
,,,
Study packets,A few times a month,Less,Because some time I don't understand the words and no help in explanation.
,,,
Other (specify),A few times a week,More,No radio to attend to
,,,
,,,
,,,
Textbooks Practice book from school,A few times a week,More,Because am not attending to the radio lessons
,,,
Textbooks,Daily,More,It's because we don't have radio at home
,,,
Practice book from school,A few times a month,More,Because easy to understand.
,,,
Textbooks Practice book from school Study packets,Daily,More,Because in radio lessons only little time taken.
,,,
Textbooks Practice book from school,A few times a week,Less,Need one to radio to have learn more knowledge.
Textbooks Practice book from school,A few times a week,Less,No teaching
Textbooks Practice book from school,Daily,More,He understands better.
,,,
Textbooks Practice book from school,A few times a week,Less,Most of the time he is doing home activities.
Practice book from school,Daily,Less,He involves home activities.
,,,
,,,
Textbooks Practice book from school Study packets,A few times a week,Less,She use to work sometimes in the garden also which doest give her rooms to always study.
,,,
,,,
Textbooks Practice book from school Study packets,A few times a week,Less,Domestic work sometimes interfere with her studies 
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Textbooks Practice book from school,Daily,More,They are available all the time than radio
Other (specify),A few times a week,More,"No radio lessons available
"
Study packets Other (specify),A few times a week,More,These materials are available but there is no radio
,,,
,,,
,,,
,,,
,,,
Study packets,A few times a week,More,No radio at home
,,,
,,,
Study packets,A few times a week,More,It  has more class work
,,,
,,,
,,,
Textbooks,A few times a week,More,It help me know more about my lessons
Textbooks Practice book from school,A few times a week,More,The help me not to forget
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Study packets Other (specify),A few times a week,Less,Not heard the program from Radio
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Practice book from school,Daily,Less,More domestic work
,,,
,,,
,,,
,,,
,,,
Practice book from school,A few times a week,More,Easy to understand
Practice book from school,Daily,Less,There are other work to do
Practice book from school,Daily,Less,Needs some explanation
Practice book from school,Daily,More,I can learn more than that of the radio
Practice book from school,Daily,More,There is no radio I rely on my notes
Textbooks,Daily,More,It's is easy to get the information
Practice book from school,Daily,More,Because there are no radio
Practice book from school,Daily,More,I gain more knowledge than listening to radio
Textbooks,Daily,More,I understand better than radio
Other (specify),Daily,More,There are no radio in the school
Other (specify),Daily,More,Easy to understand
Practice book from school,Daily,Less,Domestic work
Practice book from school,Daily,More,I rely on it because there are no radios
Practice book from school,Daily,More,It's the only way of getting updated during coronaviru lockdown
Textbooks Study packets Practice book from school,A few times a week,More, Because we are many at home in different schools and different classes so the brothers in upper classes are helping us alot
,,,
,,,
Practice book from school Textbooks,A few times a week,Less,"No, it is not simple as a result closure of school and with low coverage done during corona virus our break."
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Other (specify),A few times a week,More,Some subjects are difficult to understand from radio lessons
Practice book from school,A few times a week,More,What i learns from my father always help me a lot in my studies and even in the exams 
Textbooks,A few times a week,Less,Because it is not interactive
Textbooks Practice book from school,A few times a week,Less,Because am not interacting with my class teachers
,,,
Practice book from school,A few times a week,More,It good because I can study at the time I want
Textbooks Practice book from school Study packets,A few times a week,More,Because I can give my self enough time to understand
Study packets,A few times a week,Less,It is not enough
,,,
,,,
,,,
Practice book from school Other (specify),A few times a week,More,I don't understand lessons on radio 
Study packets Other (specify),A few times a week,About the same,Because it is not the same as teachings in the school
Practice book from school Other (specify),A few times a week,Less,"No questions asks and no answers.
"
Textbooks Practice book from school,A few times a week,About the same,I can undsrstand both 
Practice book from school Study packets,A few times a week,Less,No explanation no questions asks
Practice book from school Other (specify),A few times a week,About the same,I can undsrstand both better
Other (specify) Practice book from school,A few times a week,More,I can undsrstand better
Study packets Practice book from school,A few times a week,Less,No one can explain to me and I can not asks questions
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Other (specify),Daily,More,Am not getting some of the things taught through radio lessons
Practice book from school,Daily,More,Am not clearly picking lessons from radio
,,,
Practice book from school,A few times a week,More,The material is within the house
Practice book from school,A few times a week,More,Because in radio lessons presentor speak very fast she could hear anything.
Other (specify),A few times a week,More,It's because am not attending to the radio Everytime
,,,
Textbooks,Daily,More,She can able to understand easily 
,,,
Practice book from school,A few times a week,Less,No guidance from the tachers
Practice book from school,A few times a week,More,Because she can able to understand well
Textbooks Study packets Practice book from school,A few times a week,More,No understanding
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Textbooks Study packets Practice book from school,A few times a week,More,Because my elder sister is helping me to do my homework and make it easier for me to understand
Practice book from school Study packets,A few times a week,Less,Because no one is helping me do my work
Textbooks Study packets Practice book from school,A few times a week,Less,Because most time we are occupied with domestic work
Textbooks Study packets Practice book from school,A few times a week,More,We do discuss our holiday package with my mother she always helps me in the things I don't know
Study packets Practice book from school,A few times a week,Less,Because we are doing domestic work like washing most of the time so balancing is hard
,,,
,,,
,,,
Textbooks,A few times a week,More,No time for radio
,,,
Textbooks,A few times a week,More,I can ready and practice any time
Practice book from school,A few times a week,More,Because follow what was taught
Textbooks,Daily,More,Help me to discover other thongs not yet taught
,,,
Textbooks,A few times a week,More,No radio at home
,,,
Textbooks,A few times a week,More,They were taught then doing revision
,,,
,,,
,,,
Textbooks Practice book from school,Daily,More,There is my brother that help me
Textbooks Practice book from school,A few times a week,Less,No time due garden work
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Practice book from school,A few times a week,More,Because is easy to understand
,,,
,,,
,,,
,,,
Practice book from school,A few times a week,More,Because I understand
Textbooks,Daily,More,I have the books with me
Study packets,A few times a week,More,Here I can focus
,,,
,,,
,,,
Practice book from school,A few times a week,More,"Because radio has no enough time, no interaction. "
Textbooks Practice book from school,A few times a week,More,Because I can listen to the radio only for few minutes. It has no questions to be given or asked.
Textbooks Practice book from school,A few times a week,More,"Listening on radio has no enough time, no interactions. "
Textbooks Practice book from school Other (specify),A few times a week,More,"Because listening to learning on radio has only few hours aday, it's not effective like physical learning, there is no interaction also with other colleagues. "
Textbooks Practice book from school,A few times a week,More,"It's more helpful than listening on radio because, with radio, few time is taken and with the radio, there is no interaction and self conversation with the teachers. "
Practice book from school Textbooks,Other (specify),Less,I have some other commitment at home during the day. 
Study packets Practice book from school,A few times a week,Less,Because we are missing to learn new things like new topics
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Textbooks,A few times a week,Less,Because I don't have enough time
Textbooks,A few times a week,Less,Because there is no time
Textbooks,A few times a week,Less,No one explain the terms
Textbooks,A few times a week,Less,Not enough because there is need of explanation
Textbooks,A few times a week,Less,No one is reading with me
Textbooks,A few times a week,Less,Some words are difficult to get their meanings and no one explain
Textbooks,A few times a week,Less,Some words are difficult to understand
,,,
Textbooks,A few times a week,About the same,No good time at home to read
Textbooks,A few times a week,About the same,Not enough for me because I have to do other things at home
