"Q61_When schools re-open, do you think your school will have measures in place to ensure a safe learning environment?",Q62_Why or why not?,Q63_What are your concerns about returning to school?
Somewhat,More requirement for the school will be missing,We are justing to hear the reopening of the school
No,More things are bot in place.,We are happy to return to school
Yes,If its announce by government all schools to be open,Am very happy to go back to school
No,No latrine and drinking water,We like to learn 
No,No covid19 materials,Its good to go back to school
Yes,We are all like other schools,It is good to go back to school
Yes,Though we have toiletes and handwashing facility God will protect us from diseaseand our school can open,The school can clean and the guide line for covid 19 be follow
Somewhat,I don't know,Let our school to be open
Somewhat,I don't have any idea,The should be open
Somewhat,"No, idea",The school should be open with preventive measure
Somewhat,I'm not sure,Let the school to be open
Somewhat,I'm not sure,We the school to open immediately
Somewhat,I'm not sure,Let the school open
Somewhat,"No, idea",Let the school to be open
Somewhat,I don't have any idea,Let the school to be open
Somewhat,I don't know,"Yes, let the school to be open"
Somewhat,"No, idea",Let the school to open
Somewhat,I have no idea,The school should be open with preventive measure
Yes,Measures against covid 19,Ready to go back to school
Somewhat,I have no idea,Let the school open
,,
,,
Yes,Measures against covid 19,Ready to go back to school
Yes,Measures against covid 19,Ready to go back to school
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Yes,There is enough protective resources at my school,I wants the schools to reopen
Yes,We have enough space in our school,I wants to back to my school
No,Lack of protective measures,I wants the school to open as soon possible.
Yes,I think school administration can take care of us,I miss my school
No,I don't have interest,I'm big people to open for us school
Yes,School have enough resources to protect us from the virus,I wants to go back to my school
Yes,School is able to provides protective material for us,I'm so sad for the closure of the school I wants to go back to my school
Somewhat,It is the sole responsibility of the government and schools to create enough learning spaces.,"I need the learners to be provided with facemask and hands washing facilities.
Effective teaching to cover all the topics."
Yes,Our school conducive,I wants to go back my school
Somewhat,Because I'm engaged in other activities,Yes I wants to go back to my school that I can persue my future.
Yes,If hand washing and latrines are in place,I would advise if schools reopen because children are reluctant
Somewhat,Resources are not enough,Is good to reopen
Yes,We shall be able to put on face masks.,It is good if schools reopens.
No,No enough wash facilities in place,Is good
Yes,Social distancing,Is good to reopen
Yes,Through wash partners,Is good to reopen because we are sometimes reluctant
Yes,Provision of hand washing facilities,It is good to reopen
Somewhat,I don't know,It is good to reopen
No,No resources,Is good to reopen
Yes,Hand washing facilities,"Good
"
Somewhat,Social distancing,Is good to open
No,No resources,Is good
Yes,I don't know,Is good to reopen
Yes,Social distancing guidelines will be in place,Schools should reopen and maintain social distancing guidelines
Yes,Because of enough knowledge of covid-19,Government should provide protective measures in schools.
Yes,Teachers and government have to put covid-19 protective measures in place,Is good to reopen
No,I don't know,Is good
Somewhat,I don't know,I don't know
Somewhat,I don't know,Is good
Somewhat,I don't know,If government announced then we don't have to say no
Somewhat,They are young they can not follow covid-19 protective guidelines.,If schools reopen I will allow my children to go and God will protect them.
Somewhat,Children are so playful. They can't follow the guidelines,If government allow school to reopen then it is good.
Yes,Hand washing facilities will be in place in every class and social distancing maintain,If covid-19 subsides let schools reopen
Yes,Washing with soap and face mask,Home is too boring
Yes,to  ensure  the safety  of pupils ,is  fine 
Yes,for  safty  of pupils ,is  fine indeed 
Yes,for the  safe  of  pupils. ,is good 
Yes,to safety  of children ,is good 
Yes,they  will  put all measures ,I would  be very happy 
Yes,my  school  will  put all this measures  for safty ,good
Yes,for  our  safty ,is  good 
Yes,"for  our,safety ",is  good
Yes,for  safe  learning environments ,is okay 
Yes,am  sure   will  provide ,is  good  
Yes,to ensure  the  safty  of students,good 
Yes,they will provide  all  materials  needed  to ensure  the  safety  of  our children ,is good 
Yes,all  will be  put in place.,is  good 
Yes,to keep    good  environment of learning  for our pupils. ," it  will be  good, if schools are open."
Yes,we will  do that  for safty  of pupils ,is good 
Yes,why not,is good  that is what  we want 
Yes,for  our   protection ,is very good  to return  to school 
Yes,our  school will  put thses  measures.  to let us  return  school. ,is good 
Yes,is  good  for   us.,is good 
Somewhat,Will learn from teachers ,I.like the school to open bit it's too late now from the calendar
Somewhat,Teachers will learn us more ,To continue with my studies 
Somewhat,With the teachers ,To continue with education 
Somewhat,With teachers can help,"To continue with my studies. 
Also some biys are spoiling us.
Beeing at home we are losing more about studies "
Somewhat,With teachers and help,To continue with my studies 
Somewhat,With teachers ,To continue my studies 
Somewhat,With teachers,To continue with education
No,Lack of hand washing facilities and face mask,We need school to open
,,
,,
,,
Yes,Facilities should be in the school,To start classes
Yes,To stop covod.19,To attend the lessons
Yes,To prevent Corona,To attend classes
,,
Yes,Providing for us more facilities in the school,To attend lessons
Yes,Providing us with more hand wash facilities,To attend classes
Yes,Providing us with facilities in the school,To attend lesson
,,
Yes,To avoided covid.19,To continue my education
Yes,for the safety   of pupils ,is good
Yes,we want  our  children  to go back  to school. ,is good 
Yes,There is already conducive environment,Insecurity due to lack of government formation from Boma to state
Yes,Due to Civic 19 and others related diseases,Lack of the government formation and communal conflicts
Somewhat,Children dislike it. They want visual learning.,"Lack of government formation as well as communal conflicts. Also, the present of the covid-19 in the country!!!"
Yes,Yes we have hand washing facilities,I want school to open we are doing nothing at home
Yes,School administration should follow preventive measures.,I want to finish my studies
Yes,Sitting arrangements for distancing,We are studying at home so we need to come back to school
Yes,People will site distancing from others,I still need to complete my studies
Yes,We have hand washing facilities,Yes I want to finish
Yes,We have hand washing facilities,I want to finish my studies
,,
Yes,"Because I will sure that, classroom are safe and whole school environment",My concern is to keep school safe and supporting children in learning
Yes,"Informing all students to go back to school for learning.
Informing all community members to go for general cleaning in school",General mobilization to all community members and students about returning to the school.
Yes,Meeting with all community members about re_opening of the school,Encouraging all learners to go back for learning
Yes,I'm ready for learning,Encourage all my colleagues so that we go back for learning together
Yes,Because to keep the environment safe ,My concern is that the corona virus measures must be in place 
Yes,General cleaning of the school environment,Preparing my self for learning
Yes,Keeping social distancing during classes,Ready for learning
Yes,Because learners should be safe ,Only to learns 
Somewhat,Because I'm not sure of measures to make safe learning environment,I'm ready to go back for learning
Yes,General cleaning of the school environment and classes arrangement,Receiving lessons
Yes,Because to safe the environment of school ,"Hand washing facilities ,face masks ,"
Yes,General cleaning of school environment.,"Encourage teachers to go back and support learners.
Encourage students to go back for learning."
Yes,"Ensure that school environment is safe for learning.
Keeping social distancing observation during classes.",Keeping school environment environment clean.
Yes,To keep school clean ,"Washing hand ,face mask ,"
Yes,Keeping classes and whole school safe,Encourage all students to go back for learning
Yes,Ensure that Shool environment is safe for learning,Encourage students to go back for learning
Yes,To keep environment clean ,"Face masks ,social distance"
Yes,Ensure that general school environment is clean and safe for learning,Attaining lessons
Yes,Cleaning school environment,Ready to attend lessons
Yes,To keep school environment clean ,"Washing facilities ,Face masks ,forms "
Yes,School regulations observation,Lessons attending
Somewhat,I'm not aware of measures in place to make safe learning environment,I'm ready to go back to school
Yes,To keep school environment clean ,I will come back to school 
Yes,Cleaning of school environment,Receiving lessons
Somewhat,"I don't, know","Face masks ,hand washing facilities "
Yes, Cleaning Whole school environment ,Preparing my self to resume learning
Yes,To keep school clean ,Improving of teaching 
Yes,To keep school clean ,"Social distancing ,face masks ,"
Yes,To keep. School clean ,"Social distancing ,hand washing ,face maks"
Yes,To keep school clean ,"Hand washing facilities ,soap ,hand sanitizers ,face mask "
Yes,To keep school environment clean ,"School should be clean ,classes must rearrange toilets must repair "
Yes,To keep school environment clean ,"Increases of class ,washing facilities ,face masks ,repairing of class doors , soaps "
Yes,To keep school environment clean ,"Social distancing ,face masks ,not checking hands "
Somewhat,"I don't, know",We will continue learning 
Yes,To keep school environment clean ,"No hand checking ,face masks ,"
Yes,Hand washing face mask,Because i want to sit this year
Yes,Face mask,All measure to be put in place
Yes,Hand washing facility,I loss hope that why i need school to re open
Yes,Social distancing,Measure to be put in place
Yes,Face mask,I need school to provide face mask
Yes,Face mask hand sanitizer,Just to learn
Yes,Hand washing facility,I need all preventive measure to be implemented
Yes,Face mask and hand sanitizer,Preventive measures to be in place
Yes,Face mask and hand sanitizer,Hand washing Soap
Yes,Face mask social distancing,Hand washing facility
Yes,Social Distancing,Face mask
Yes,Face mask,Social distancing
Yes,Social distancing,Hand washing facility
Yes,Social distancing,Preventive measure to be put in place
Yes,Hand washing facility,Face mask and no hands checking
Yes,"By keeping social distant, regular washing of hands etc.",I will obvious return to school and concentrate with teachers.
Yes,Fear of pandemic,How do learners will maintain social distancing
Somewhat,People are talking about disease called Corona ,Going back to school is a good move
Somewhat,Due fear of Corona,Government has to provide wash facilities for school
Yes,To protect ourselves from coroy,Get knowledge
Somewhat,No,No 
Somewhat,No,Children should return to school
Somewhat,Reopening of school,For children to learn
Yes,Because the learners have lost a lot during the coronavirus season.,When I get a school where people of our age are supported I will return to school.
Somewhat,Because I don't know what happens in the school.,Let the schools be reopened very soon.
Yes,"The school administration will ensure that,all pupils must adhere to the guidelines to prevent the spread of coronavirus.",Schools should be reopened.
Yes,To avoid the spread of coronavirus.,Let the guide lines to combat the spread of coronavirus be put in place.
Yes,To stop the spread of coronavirus.,Safety guidelines to stop the spread of the coronavirus should be put in place.
Yes,To stop the spread of coronavirus.,The school needs to put more emphasis on the observation of the guidelines to prevent the spread of coronavirus.
Yes,To stop the spread of coronavirus.,Guideline for prevention of coronavirus should be observed.
Yes,To prevent the spread of coronavirus.,Safety guidelines should be put in place to stop the spread of covid 19.
Yes,To protect the children from getting coronavirus.,The schools should put in place the general guidelines for the prevention of coronavirus.
Yes,Because of the spread of covid 19.,The schools should put in place the guidelines for the prevention of coronavirus.
Somewhat,I don't know what the school will do.,I don't know.
No,I don't know.,The school should put in place the general guidelines for the prevention of covid 19.
Yes,To prevent the spread of covid 19.,The schools need to massively sensitize the learner's on the preventive measures of coronavirus.
Yes,To prevent the spread of coronavirus.,The schools should put in place the guidelines for the prevention of coronavirus.
No,I don't know.,I don't know.
Somewhat,I don't know.,I don't know.
No,Because the teachers are not trained on the safety measures.,Learner's and teachers must observe guideline principles to prevent the spread of coronavirus.
Yes,Because the out break of covid 19 has taught the people a lesson.,The government and the administration of the school should put in place effective preventive measures to control the spread of coronavirus.
No,I don't know.,I don't know.
Yes,To prevent the spread of coronavirus.,The government and the school administration should ensure that the guidelines for the prevention of coronavirus are put in place.
No,I don't know.,I don't know.
Yes,To prevent the spread of coronavirus .,The government together with the school administration should put in place the guidelines for the prevention of Covid 19.
No,I don't know.,I don't have any idea.
Yes,To prevent the spread of coronavirus.,"The government,partners and the school administration of the school must ensure that the guidelines for the prevention of Covid 19 are strictly followed."
Yes,To prevent the spread of coronavirus.,"School administration together with partners should ensure that,the guidelines for the prevention of coronavirus are put in place."
Yes,To prevent the spread of coronavirus.,Schools must have adequate wash facilities and facemask must be distributed to the learner's .
No,I don't know.,I don't know.
Yes,Follow covid 19 preventive measures,Let the school be open this year
Somewhat,Depend on the school administration,Let the government open the schools
No,Depend on the school administration,School have to be open 
,,
Somewhat,Follow the preventive measures,I'm ready to return to school once schools reopen
Yes,Provision of washing facilities and take care of themselves.,A lot of temptation when one is out of school especially the peers groups.
Yes,Keep safe by social distance ,Construction of school permanent and provision desks.
Yes,Be keeping safe rules of coronas virus ,"Provision of agricultural tools for the school to practice agriculture. And seeds.  Menstrual facilities for girls, soaps, sanitary pads etc to support girls."
Yes,When resources are available,Corona
,,
,,
,,
Yes,When resources are available,Covid 19
,,
Yes,When resources are available,Corona virus
Yes,When resources are available,Corona virus
Yes,When resources are availed,Covid 19
No,No resources,Covid 19
,,
,,
No,Things are expensive,Corona
No,Books and other scholastic materials are provided,Corona virus
,,
,,
,,
,,
,,
No,Things are expensive,The sickness of Corona virus
,,
Yes,When scholastic materials are brought to school,Corona virus
,,
Yes,Prortect ourselves from Corona,Want knowledge
,,
Yes,Washing facilities are needed,To safeguard ourselves from getting Corona
Somewhat,No,No
,,
Yes,Because of Corona,No concerns
Somewhat,Due to Corona,Fear about Corona
,,
Yes,Because pandemic,Get more knowledge
,,
,,
,,
Yes,Hand washing facilities,No 
,,
,,
,,
Somewhat,No,No
,,
Somewhat,No idea,No idea
,,
,,
,,
Yes,We need children get education,No problem but social distancing must be observed to avoid infection
,,
Somewhat,No ,No
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Yes,Because there are rules and regulations set for safe learning environment,Our concerns is to accomplish our studies in the right time.
Yes,Safeguarding rules and regulations are there for safe learning environment,To keep us busy and accomplish our studies in time
Yes,There are safeguarding rules and regulations set for safe learning environment,My concerns are to accomplish my studies at right time
Yes,It will be safe when government should provide face masks when schools reopen,My concern is to accomplish my studies at right time
Yes,Because there are rules and regulations set for safe learning environment,My concern is resume my studies so that I finish early.
Yes,I think government will do something for safe learning environment,"My concerns are to avoid redundancy, to complete my studies at right time"
Yes,"It will be safe when we are provided with face masks, handwashing facilities etc",My concern is to continue with my studies because home too boring
No,There are no measures at school now unless they are provided by government and education partners,My concern is reopening of schools to avoid redundancy at home and to continue with our studies
Yes,"Infact there are measures that can be in place for safe learning environment eg. Face masks, hand washing facilities, social distancing etc",My concern is that school should reopen so that we persuade with our studies
No,"The school lack many things like hand washing facilities, sentizers, face masks etc",To reduce redundancy of the students
Yes,Actually to follow up with what the government is doing,My concern about returning to school is to help students on the management and to make them active in the school
No,"Because there are no preventive measures for safe learning environment unless the government provide face masks, hand washing facilities among other things",During school time we are active and do much of school work than being redundant at home.
Yes,Because most of the students are boarding students that means we spend most of our in the school,My concern is to  continue with our studies so that finish early.
Yes,Because all facilities for safe learning environment are in place,I am doing nothing at so I preferred doing more about school work
Yes,Because the facilities we have at the school are safe for learning environment,My concern is to continue with my studies
Yes,Because the facilities we have in the school can be safe for learning environment,"
My concern is reopening of schools in order to avoid redundancy at home"
Yes,We have enough teaching facilities in the school,My concern as a girl is to be engage by the school work more than community activities
Yes,"The school have enough classrooms but what is lacking I think government will provide like sentizers, hand washing facilities etc",My concern is the status of the students and which term are we beginning?
Yes,Because we have enough classes and hand washing facilities are there and we shall be observing social distancing.,To continue with our studies
No,Because there are no preventive measures in the school,To accomplish my studies
Yes,Because there are some facilities for safe learning environment in the school.,My concern is to continue with my studies
Yes,Because there are so many facilities for safe learning environment at the school,My concern is accomplish my studies
No,Because there are no preventive measures in the school,My concern is to continue with my studies
Yes,Because there are some preventive measures for safe learning environment,My concern about returning to school is to avoid being redundant at home
Yes,Ensure Covid 19 measures are taken,To complete my secondary education
Yes,We are are aware of Covid 19 measures,I wanted to complete my senior four
Somewhat,Schools can make part and Government take part,To avoid drop out among learners
Yes,School having more classes to accommodate the social distancing measures,I need schools to open so that I get promoted to Senior three
Yes,Enough space for protection measures,I no like to repeat the class
Yes,Our school have hand washing facilities in place,Avoid losing time 
Yes,Enough class rooms that allow small number,Some learners get killed in gang and some girl's get pregnant
Yes,School have strick rules,Stay at home is  not improtect
Yes,We have hygiene and sanitation club in the school,No much time is left for us to complete the subjects required
Yes,They are aware of covid 19,Staying at home is not good for us girls
Yes,Teachers will give instructions to learners,It avoid bad practice among learners like early marriages
Yes,School will put hand washing facilities at the door of even class,I need to continue learning since I don't listen to radio lesson
Yes,Stop/ minimize rates of spread of Covid 19,"To complete my senior 4
To reduce rate married among students"
Yes,Practice social distancing,Learners will be rescue from bad practices like early marriages and gange among boy and girls
Yes,Take social distance measures seriously,Am Senior four I need to finish schooling
Yes,The school enough space,Concern is to complete my senior four
Yes,School can arrange all possible measures ,Continued my education so I become  a nurse
Yes,School will make social distance a most,Resume my lessons in school
Yes,There were go before ,I wanted to complete my secondary education
Yes,The school can put in place Covid 19 measures,To complete my senior four
Yes,It is healthy to stay in clean environment,Let schools reopen
No,I don't know,Let schools reopen
Somewhat,I don't know,I want to resume my study
No,I don't know,We want to resume our study 
Somewhat,It good to be in a safe environment,Let schools reopen
No,I don't know,Let schools reopen
No,I don't know,Am ready to go back to school
No,I don't know,Let schools reopen
No,I don't know,Let schools reopen
Yes,If is good to stay in a healthy environment,Am ready to start working to school if it opens
No,I don't know,Let schools reopen
Somewhat,I don't know,Let schools reopen
Somewhat,I don't know,Let schools reopen
No,I don't know,Let schools reopen
No,I don't know,Let schools reopen
Somewhat,I don't know,Let schools reopen
No,I don't know,We want to resume our studies
No,I don't know,Let schools reopen
No,We shall make sure the school is free and safe for learning,Let schools reopen so that my kids are able to resume thier studies
No,I don't know ,"The the government conceal the lessons on the radio, it is not good"
No,"As one of the PTA member, we shall make sure it's safe",Let schools reopen
Yes,We shall clean the environment,Let schools reopen so that my kids are able to resume their schooling
No,I don't know,Let schools open
No,I don't know,Let schools open
No,I don't know,Let schools open
No,I don't know,Let schools open
No,I don't know,Let schools open
No,I don't know,I don't know
No,I don't know from the school authority,Corona virus
No,I don't know,Corona virus infection fear
No,I have no idea,Corona virus infection
No,Because of Corona virus fear children will not come for studies,Corona virus infection fear for me
No,I don't know,Corona virus fear for infection
No,I don't know because our school Lacatem Have no water point for washing learner's hand,Corona virus infection fear
No,I don't know what the school authority will do for it,Corona virus disease
No,I don't know,Corona virus fear
No,I don't know,Corona virus infection fear
No,I don't know,Corona virus infection fear
No,I don't know,Corona virus infection fear
Somewhat,I don't know,I wish the school to be open
Yes,Provision washing facilities face masks and social distance.,COVD19 measures should be put in place before attend to classes.
No,Due to lack of washing facilities and limited number of toilets.,Provision of face mask and exercises books.
No,No washing facilities and enough toilets.,Schools should be cleaned first and distribution of exercises books to learners.
Yes,Since some schools have washing facilities and others don't have.,Schools should be cleaned and distribution of face masks and exercises books to learners.
Yes,Teachers are able to put in place COVID19 preventive measures.,Schools should be cleaned and supply of scholastic materials.
Yes,If teachers aware learners on COVID 19 guide lines they will abide bye.,Awareness on COVID 19 preventive measures first.
Yes,Teachers are able to aware students on COVID19 preventive measures.,"Nothing, let Schools reopened and we sit for our final exams."
Yes,Teachers will ensure COVID19 preventive measures are in place.,Teachers should be paid their salaries to motivate them.
Yes,I will look for washing facilities,I wish the school to be open
Somewhat,I don't know,I wish the school to be open
Somewhat,I don't know,Let the schools to be open
Yes,We will make sure that our environment is clean and safe,"1.Most of the classes are congested and will not be able to control
If school get some tent so that we 2.increase the number of classes
3. Provision of hand sanitizer
4. There is a need for increasing the number of desk.
5. Additional hand washing facilities to reduce the over crowding .
6. There is a need for reusable face mask for the pupils to protecting them selves from Covid-19"
Yes,To avoid infection ,Safety of children 
Yes,This measures will provide room for safety of both teachers and learners,To provide face mass to the learner's and includings sanitizers  
Somewhat,I don't know,Let the school to be open
Yes,The teachers are trained about those measures of protection,We need school uniforms and books
Somewhat,Not granteer,Schools should open but provide learning materials on time
Yes,Measures shall be applied,No of classes and teachers to avoid being crowded
Yes,They carried out some awareness for prevention of covoid-19,We need to be taught well to catch-up
Yes,We were told about those measures,We need school uniforms and More classes
Yes,Protection measures shall be followed,Classrooms are small the number pupils is big. Therefore need more classes
Somewhat,Measures will be used to protect them,Government should see good length of time to make children pass next year
Yes,There are prevention measures for covoid-19,We need more radios and textbooks
Yes,Measures are there to follow,There no enough books for learning in classes
Yes,We have safety measures,"I'm fear that if the School open, Will it cover this year Sylvia?"
Yes,We shall use protection measures,"I need to get radios, books and uniform"
Somewhat,Because these materials requires money our school may not put all measures in place but a few.,Pupils in the homes have become idles and indulging them selves in bad conduct due to closures of schools.
No,Hand washing materials are not even there near the toilets , I need to ho back to school
Somewhat,I'm not sure,Let the school to be open
Somewhat,I don't know,Let the school to be open
,,
Yes,Keep social distance ,"Add some classrooms for the learners ,   "
No,Concentrate with teachers in the classroom ,Food for school should be provide by government to attract more learners 
No,I don't know ,To continue my studies 
Yes,With a help of the teachers,To continue with education
Yes,By social distance and use of washing facilities in the school compound ,So that the children will focus in education for their future.
No,I don't know ,To continue with education 
No,I don't know ,To continue with education 
Somewhat,Teachers will do more ,Children to continue with education 
No,I don't know ,To continue with education 
No,I don't know ,To continue with education 
No,I don't k ow about it ,To continue with my studies 
No,I don't know ,Not be at home without doing nothing 
No,I don't know ,To continue with education 
No,I don't know ,To study and later to help my parents 
Yes,Get updates in all counties,"Add more classrooms for learners,  food for school"
Yes,They would have known all the preventive measures of coronas virus,It should be reopen to avoid Early marriage among school girls
Yes,Provide washing facilities in all the compound and maintain social distance,To avoid early marriage among school children
Yes,Aware of preventive measure by social distance,Provide food for school to attract more pupils enrol in school 
,,
,,
Yes,Keep updated about the world news,He will come to continue will lessons while keep social distant
Yes,Keeping social distant ,It good to return to school to avoid early marriage amongst school boys and girls .
,,
,,
Yes,Measures against covid 19,To go back to school
Yes,Hand washing soap face mask,I want to sit this year
Yes,"Hand washing facility,social distancing",I want to sit this year
Yes,"Hand washing,social distancing and face mask",I want to sit this year
Yes,Hand washing facility,I want to learn
Yes,Face mask,So that i complete my class
Yes,Social distancing,I want to complete my class
Yes,Hand washing facility,So that i complete my class
Yes,Face mask,I want my children to learn
Yes,Social distancing face mask,Children to be provide with hand washing soap
Yes,Social distancing and face mask,I need my children to learn
Yes,"Social distancing,face mask",I want my children to learn
Yes,"Social distancing,washing facility",So that my kids can learn
Yes,To avoid sickness,Let schools reopen
No,To avoid sickness,Let schools open
No,I don't know,Let schools open
No,I don't know,Let schools reopen
No,I don't know,Let schools reopen
No,I don't know,Let schools reopen
Yes,For the smooth learning,Let schools open
No,I don't know,Let schools open
No,I don't know,Let schools open
No,I don't know,Let schools open
Yes,For the smooth learning,Let schools reopen
No,I don't know,Let schools open
No,I don't know,Let schools open
No,I don't know,Let schools open
Yes,For the smooth learning,Let schools reopen
No,I don't know,Let schools reopen
No,I don't know,Let schools reopen
No,I don't know,Let schools reopen
No,I don't know,Let schools reopen
,,
Yes,To provide for us more facilities,To attend lessons
Yes,To provide for us more facilities in the school,To attend classes
Yes,To provide for us more facilities in the school,To back to school
,,
Yes,To provide for us more washing facilities in the school,To attend classes
Yes,To provide for us in the school washing facilities in the school,To learn
,,
,,
,,
No,Our school is at the border of Unity state where people are stable due to in security.,We are ready to allowed children to go back to school.
,,
,,
,,
,,
,,
,,
,,
No,School is not having containers for washing hands.,I wants our school to reopen.
,,
,,
,,
Yes,Because we will be free for keeping lesson,It's will be good 
Yes,Because we do clear our school evrinoment,Really it good such our children should returned back to school
Yes,Because our environment is ready for study,We want our children to go back to school 
Yes,Because our environment is ready for study ,We need them to go back to school
Yes,Because our environment is good for lessons,We want all of them to come back to school
Yes,Because our school environment is cleared for study,We need them to go back to their studies
Yes,Because our school environment is ready for study ,We need all the school should reopen such that all student should go back to school 
Yes,Because the school evrinoment is clear and ready for our studies ,We need to return all to school 
Yes,Because our school environment is ready for study ,I want to go back to school if it's open 
Yes,Because our school compound is ready for studies,Actually we want to return back for studies
Yes,Because our school clear ,We need to go back to school 
Yes,Because our school environment is ready for studies ,We want to go back to school for our studies
Yes,Because the school clear and ready for study ,We are ready to go back to school 
Yes,Our school compound is ready for studies,No idea
Yes,Our school compound is ready for study ,Yes we are ready to go to school
Yes,Our school evrinoment is ready for study ,Actually we are ready for study 
Yes,Yes our school compound is ready for study,Actually we need to go to school
No,No any idea,No any idea
No,No idea,No idea
Yes,Our school is ready for study ,Actually we are ready to back to school
Yes,Our school compound is ready for study ,Yes we are ready to return back to our school
Yes,Our school environment is clear for lessons,I need to go back to our school
Yes,By providing wash facilities,Provision of scholastic materials to all children 
Yes,We have enough space and few learners per a class,I needs my children to go back to their learning and can also prevent  early pregnancy among girls
Yes,Our school is safe,I wants to go back to my school
Somewhat,We don't have water and soap in our school,I just wants to returned to my school
Somewhat,My school has measures in place,When will the schooling be reopen?
Somewhat,We have safe environment,I needs my child to go back
Yes,Because school have enough space and also they keep our children busy instate of moving randomly.,I wants my children to go back to school to keep them busy and prevent girls from early marriage and pregnancy.
Yes,Our school compound is very big and we can sit far from one another.,I wants to call our teachers to let us go back to school.
Yes,Because since they close down the school we have not seen anything like someone fell sick because of the virus,Let our children go back to their classes.
Yes,Because most of knows the danger of the virus.,I wants the school to reopen quickly
Yes,Because in our class we are matured we can take care of ourselves,Let it reopen next year. So that I can provide some of my basic needs.
Somewhat,I don't know,Let the school to be open
Somewhat,I don't know,Let the school to be open
Somewhat,I don't know,Let the school to be open
Somewhat,I don't know,I wish the school to be open
Somewhat,I don't know,I don't know
Somewhat,I don't know,Let the school to be open
Somewhat,I don't know,Let the school to be open
Somewhat,Because am not sure,So that I complete my studies
Somewhat,Because we are lacking some WASH facilities,To let the students continue with their studies
No,Because am not sure of it,To let the students continue with their studies
Somewhat,Not very sure,So that students continue with their studies
Somewhat,Because people are not aware about Covid-19 preventive measures,The students should finish their studies to come and work
Somewhat,Because Covid-19 guidelines awareness was not enough,So that the students finish their studies
Somewhat,Am not sure,To let students continue with their studies
Somewhat,Because am not sure,To let the students continue with their studies
Somewhat,Because am not sure,Students should continue with their studies
Somewhat,Some guidelines were leaned during lockdown,Students should continue with their studies
Somewhat,School will arrange to have measures,Students to continue with their studies
Somewhat,Because am not sure,To finish my school
Somewhat,Because the guidelines are being learnt,To finish my school
Somewhat,Because the school is aware of Covid-19 preventive measures,To finish my school
Somewhat,Because people are aware of Covid-19 preventive measures,To continue with my school
Somewhat,People are aware of Covid-19 guidelines,To finish my school
Somewhat,Because people are aware of Covid-19 guidelines,To finish my school
Somewhat,Because people are aware of Covid-19 preventive measures,To finish my school
Somewhat,Because people are aware of Covid-19 preventive measures,To finish my school
Somewhat,Because people are aware of Covid-19 preventive measures,To finish my school
Somewhat,Because people know about the measures of Covid-19,To finish my education
Somewhat,People are aware of Covid-19 guidelines,To finish my school
Somewhat,People learnt about Covid-19 preventive measures,To complete my studies
Somewhat,Because people know the covid-19 guidelines,To complete my studies
Somewhat,People learnt about Covid-19 guidelines,To complete my studies
Somewhat,People learnt about Covid-19 guidelines,To finish my school
Somewhat,People learnt about Covid-19 guidelines,To complete my school
Yes,Because people know about Covid-19 Guidelines,To finish my school
Somewhat,I don't know,Let the school to be open
Somewhat,With the teachers ,To continue with my studies 
No,The schools can not afford to handle these.,I am happy to let them go back to school and all the prevention measures to be in place 
Somewhat,I don't know,I wish the school to be open
,,
Somewhat,He say he is in the vellge were by he can not listen to the radio,Personally I want my children to go back to school for study
,,
Somewhat,I don't know,Let the school to be open
Somewhat,I don't know,Let the school to be open
Somewhat,I don't know,Let the school to be open
Somewhat,I don't know,Let the school to be open
Somewhat,I don't know,Let the school to be open
Somewhat,"I don't, know ","Hand washing ,face masks ,benches "
Yes,Keep school clean ,"Washing facilities ,face masks ,social distsncng"
Yes,To keep school clean ,"Hand washing ,face mask,benches "
Yes,To keep school clean ,"Social distancing ,hand washing "
Yes,To keep school environment clean ,"Wash facilities ,social distancing "
Somewhat,No teacher ,"Wash facilities ,benches ,face masks "
Somewhat,No teacher ,"Wash facilities ,face masks  must be bring "
Yes,To keep our school environment clean ,"Wash facilities ,face masks ,increases of classrooms "
Yes,Our school will be clean ,I have no concerns 
Yes,To keep environment of school clean ,"Increases of classrooms ,"
Yes,Because to get safe from corona virus ,Benches should bring 
Yes,To keep school  environment clean,"Social distancing ,wash facilities ,face masks ,increases of classrooms "
Yes,Because teacher are aware ,"Clean of school ,increases of classrooms , wash facilities ,  face masks "
Yes,All teacher are aware ,"Face masks ,wash facilities ,clean of school ,toilets must be clean "
Yes,To keep school clean ,"Clean school ,"
Yes,To keep school clean ,"Wash facilities ,"
Yes,Because all teacher are aware of corona virus ,"Bring face masks ,soaps wash facilities "
Yes,To keep our school clean ,"Benches ,soaps should be bring "
Yes,The school will be clean ,"Bring more textbooks ,facemasks "
Yes,"But with the needs face masks ,wash facilities ","School must be open ,but with provision of covid ,19 preventive measures "
Yes,To keep our school clean ,School not to be open 
Yes,To keep school clean ,School will not open 
Yes,To keep school clean ,School must be open 
Yes,To school school clean ,My concern is to open school
Somewhat,"To don't, know ",Is good to open school 
Somewhat,"I don't, know ",Suppose to open school 
Somewhat,"I don't ,know ",School must be open 
Yes,To keep school clean ,Is good to open school 
